map,w,h,hqElevA,hqElevB,hqDist2,hqFloodRound,cows,soupTotal,soupNearHQ,flooded0,water0,symmetry,minElev,maxElev,hi8,hi12,hi20,hiMax,hi4Flood
ALandDivided,41,32,3,3,900,677,2,14000,3000,96,0,X,-100,3,0,0,0,3,677
AMaze,50,49,3,3,1681,677,4,15400,1750,6,0,X,1,1000,53,43,43,400,2832
BeachFrontProperty,64,64,2,2,3242,464,18,22200,2400,1340,0,R,-4,21,0,0,0,5,1210
CentralLake,41,41,3,3,1352,677,4,24800,4000,441,0,R,-5,3,0,0,0,3,677
CentralSoup,48,48,3,3,1458,677,4,25800,2200,96,0,R,-25,15,0,0,0,3,677
ChristmasInJuly,54,38,4,4,1681,931,12,15480,1960,20,0,X,1,7,0,0,0,7,1546
ClearlyTwelveHorsesInASalad,50,40,3,3,1682,677,4,10460,1960,98,0,R,-200,1000,38,38,38,1000,3019
Climb,40,40,4,4,2186,931,0,25368,2955,6,0,R,-5,500,66,66,54,346,2796
Constriction,40,40,5,5,2178,1210,10,18424,1519,80,0,R,-11,1000,36,21,0,19,2048
CosmicBackgroundRadiation,48,42,4,4,1514,931,8,8300,2250,104,0,R,0,9,2,0,0,8,1546
CowFarm,40,40,4,4,1369,931,4,16646,833,24,0,X,4,1073741823,2,2,2,1073741823,931
DidAMonkeyMakeThis,56,41,5,5,676,1210,36,13097,4270,1293,0,Y,0,1073741823,1,1,1,1073741823,677
DisproportionatelySmallGap,57,35,5,5,2116,1210,10,22600,4500,1337,0,X,-2,300,1,1,0,13,1210
DoesNotExist,64,54,3,3,2209,677,18,24096,1165,2,0,Y,3,1000,16,14,0,14,1929
Egg,38,34,4,4,441,931,4,17518,1989,36,0,Y,-100,1000,55,55,55,1000,3019
Europe,63,32,4,4,1156,931,6,17350,1050,796,0,X,-4,7,0,0,0,4,931
FourLakeLand,61,41,3,3,1600,677,5,22160,980,228,0,X,-50,6,0,0,0,5,931
GSF,56,42,4,4,410,931,10,17400,1000,4,0,R,-3,4,0,0,0,4,931
Hills,60,60,4,4,2330,931,4,12204,1410,240,0,R,-8,400,1,1,0,18,464
Hourglass,40,32,3,3,169,677,4,19200,6100,310,0,Y,-4,100,33,33,33,100,2524
IceCream,64,46,4,4,3721,931,22,25760,1500,90,0,X,-1,1000,0,0,0,4,931
InADitch,50,37,-5,-5,576,0,0,14850,1200,46,0,Y,-5,100,0,0,0,5,1210
Infinity,33,33,0,0,288,1,8,20628,10488,74,0,R,-12,26,61,14,13,26,2155
IsThisProcedural,46,32,3,3,289,677,2,11900,900,2,0,Y,3,120,23,23,23,120,2567
Islands,55,55,4,4,1600,931,18,26400,1600,2520,0,Y,1,500,0,0,0,4,931
Islands2,64,40,4,4,2809,931,4,28700,7100,1526,0,X,-20,8,0,0,0,7,1546
Maze,64,64,3,3,5210,677,6,12300,1950,26,0,R,-10,100,9,9,9,100,2524
MoreCowbell,48,36,3,3,1849,677,6,30000,3500,16,0,X,-20,99,5,5,5,99,2522
MtDoom,63,33,0,0,2916,1,28,19200,2100,1,0,RXY,0,4,0,0,0,0,1
NoU,51,44,4,4,1024,931,0,15600,3100,604,0,X,-100,4,0,0,0,4,931
OmgThisIsProcedural,60,64,3,3,2401,677,6,16746,1808,92,0,X,-100,19,45,32,0,19,2028
Prison,64,64,5,5,6962,1210,16,26600,1000,492,0,R,-4,15,0,0,0,7,1210
ProceduralConfirmed,64,32,3,3,1849,677,6,11000,2600,24,0,X,-100,1000,7,7,7,1000,3019
RandomSoup1,41,56,4,4,1849,931,4,22556,4960,270,0,Y,4,4,0,0,0,4,931
RandomSoup2,64,64,3,3,7938,677,4,24562,1220,324,0,R,3,3,0,0,0,3,677
RealArt,64,32,3,3,1681,677,14,13000,2100,14,0,X,-4,30,98,52,52,30,2201
Sheet4,64,64,3,3,6050,677,36,30200,2000,960,0,R,-10,100,0,0,0,2,464
Showerhead,50,39,4,4,2025,931,6,19400,2700,288,0,X,-2,1000,4,0,0,10,1771
Soup,56,32,1,1,1681,256,4,13600,2000,86,0,X,-18,20,0,0,0,1,256
SoupOnTheSide,48,48,3,3,98,677,4,27800,12700,18,0,R,-1000,15,23,23,0,15,1957
Spiral,33,33,4,4,40,931,0,26200,8200,419,0,R,-12,5,0,0,0,4,931
Squares,63,63,4,4,1764,931,4,18400,9200,4,0,RXY,1,3000,26,26,26,20,2067
Swirl,52,41,1,1,4201,256,10,18600,2000,2,0,R,-3,1291,11,11,11,300,2683
TheHighGround,64,64,5,5,5618,1210,24,29200,1800,368,0,R,-30,400,0,0,0,7,1546
Toothpaste,45,37,5,5,1940,1210,10,17760,2520,22,0,R,-4,1001,13,9,9,100,2524
TwoForOneAndTwoForAll,41,32,3,3,900,677,8,30400,2600,205,0,X,-10,15,0,0,0,3,677
TwoLakeLand,45,45,3,3,256,677,8,20000,2800,16,0,Y,-100,120,12,9,9,120,2201
Volcano,56,56,4,4,3698,931,4,15580,1500,42,0,R,0,35,0,0,0,5,1210
WaterBot,61,41,4,4,1600,931,6,31730,3970,489,0,X,-20,9,0,0,0,6,1413
WateredDown,32,32,2,2,625,464,12,18200,3700,92,0,Y,-10,8,0,0,0,2,464
WhyDidntTheyUseEagles,64,64,-6,-6,5410,0,12,16000,2850,182,0,R,-6,200,0,0,0,3,677
maptestsmall,32,32,1,1,441,256,4,412928,41630,32,0,X,1,3,0,0,0,3,677
